epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.39525,1.44084,3.81349,0.92546,0.00393,1,0.05378,0.03765,0.8468,3.39276,0.83286,4e-05,4e-05,4e-05
2,6.45925,1.09152,3.50317,0.86412,0.0039,1,0.04738,0.03537,0.88176,3.45479,0.82211,9.967e-05,9.967e-05,9.967e-05
3,9.79368,1.17207,2.99388,0.89589,0.00398,1,0.19042,0.12006,1.04995,3.47749,0.82612,0.000158944,0.000158944,0.000158944
4,12.7559,1.14848,2.20588,0.88528,0.0043,1,0.745,0.18364,1.12919,3.46152,0.84159,0.000217822,0.000217822,0.000217822
5,15.3963,1.16945,1.57462,0.84205,0.0046,1,0.13417,0.03986,0.91993,3.47898,0.85597,0.000276304,0.000276304,0.000276304
6,17.9663,1.08939,1.28437,0.86438,0.00481,1,0.25781,0.03866,0.96168,3.45507,0.84813,0.00033439,0.00033439,0.00033439
7,21.012,1.09594,1.23284,0.85305,0.00471,1,0.0197,0.01434,0.9716,3.433,0.84652,0.00039208,0.00039208,0.00039208
8,23.8999,1.024,1.1828,0.88539,0.00459,1,0.01932,0.01458,0.83609,3.43025,0.84386,0.000449374,0.000449374,0.000449374
9,26.7881,0.99293,1.1826,0.85113,0.00468,1,0.0186,0.00958,1.16332,3.71711,0.97006,0.000506272,0.000506272,0.000506272
10,29.6857,0.87116,1.09058,0.82635,0.00468,1,0.01809,0.01121,1.04486,3.4868,0.87733,0.000562774,0.000562774,0.000562774
11,32.5385,1.0344,1.09114,0.85614,0.00438,1,0.01716,0.01249,0.87228,3.33487,0.86705,0.00061888,0.00061888,0.00061888
12,35.4247,0.93705,1.07665,0.85815,0.00438,1,0.01777,0.01244,0.92028,3.32916,0.91644,0.00067459,0.00067459,0.00067459
13,38.4462,0.94501,1.08131,0.86198,0.00412,1,0.01658,0.01208,0.66745,3.37592,0.8519,0.000729904,0.000729904,0.000729904
14,41.6714,0.94739,1.16359,0.85825,0.00413,1,0.01686,0.01397,0.53673,3.34237,0.83228,0.000784822,0.000784822,0.000784822
15,44.7716,0.95835,1.18432,0.86024,0.00393,1,0.01777,0.01343,0.77589,3.35824,0.84466,0.000839344,0.000839344,0.000839344
16,47.8351,1.06413,0.98693,0.86576,0.00381,1,0.01793,0.01355,0.71092,3.34283,0.84053,0.00089347,0.00089347,0.00089347
17,51.2473,0.92198,1.09021,0.80711,0.00333,1,0.01809,0.01316,0.80172,3.35925,0.85225,0.0009472,0.0009472,0.0009472
18,54.1968,1.01475,0.93187,0.87917,0.00334,1,0.01826,0.01377,0.81421,3.31197,0.8542,0.00100053,0.00100053,0.00100053
19,57.3461,1.03197,0.98968,0.82549,0.00336,1,0.01746,0.01396,0.74248,3.25469,0.8618,0.00105347,0.00105347,0.00105347
20,60.3391,0.95709,0.97716,0.87438,0.00333,1,0.01843,0.0134,0.70994,3.24111,0.83867,0.00110601,0.00110601,0.00110601
21,63.2417,0.95027,0.91938,0.86426,0.00333,1,0.01793,0.01304,0.69777,3.13433,0.8462,0.00115816,0.00115816,0.00115816
22,66.1283,1.03006,0.96623,0.85757,0.00333,1,0.01686,0.01227,0.87684,3.09266,0.89239,0.00120991,0.00120991,0.00120991
23,69.0436,1.04935,1.00865,0.83536,0.00333,1,0.01701,0.01191,0.93364,3.03323,0.89892,0.00126126,0.00126126,0.00126126
