epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.7809,1.06239,3.47495,0.92639,0.00333,1,0.05954,0.02838,1.09244,3.69515,0.83168,0.00014,0.00014,0.00014
2,11.2798,0.93927,2.79122,0.8779,0.00333,1,0.64733,0.31882,0.84304,3.58071,0.80351,0.00029406,0.00029406,0.00029406
3,16.8097,0.84941,1.7373,0.85849,0.00333,1,0.46575,0.13894,0.66225,3.58256,0.78831,0.000441784,0.000441784,0.000441784
4,22.5136,0.90712,1.51535,0.87105,0.00333,1,0.03025,0.01098,0.66271,3.57106,0.80247,0.000583172,0.000583172,0.000583172
5,28.0367,1.14041,1.61585,0.93101,0.00333,1,0.02544,0.02066,0.73974,3.61935,0.79758,0.000718224,0.000718224,0.000718224
6,33.6593,0.8533,1.30962,0.90267,0.00333,1,0.09888,0.08582,0.77207,3.48332,0.80336,0.00084694,0.00084694,0.00084694
7,39.015,0.94604,1.31891,0.8892,0.00333,1,0.20169,0.15994,0.74935,3.41066,0.82999,0.00096932,0.00096932,0.00096932
8,44.5536,0.84469,1.20796,0.8888,0.00333,1,0.23596,0.19293,0.75433,3.29656,0.81964,0.00108536,0.00108536,0.00108536
9,50.2734,0.85713,1.20401,0.93246,0.01375,0.91667,0.26557,0.21225,0.86794,3.07965,0.84839,0.00119507,0.00119507,0.00119507
10,55.7527,0.81352,1.21315,0.92935,1,0.29328,0.72202,0.57337,0.85862,2.782,0.84028,0.00129844,0.00129844,0.00129844
11,61.2004,0.85632,1.11846,0.91263,1,0.29059,0.88008,0.69051,0.86087,2.68787,0.85944,0.00139548,0.00139548,0.00139548
12,66.7741,0.84075,1.09802,0.92498,1,0.22686,0.92753,0.71818,0.82751,2.58474,0.85431,0.00148618,0.00148618,0.00148618
13,72.1135,0.94314,1.2496,0.8887,1,0.74562,0.98885,0.71303,0.86891,2.31747,0.90292,0.0015248,0.0015248,0.0015248
